Using device: cuda
Loading data...
Initializing VGG16 model with 200 classes...
Starting training for 60 epochs...
Epoch 44/60 | Time: 84.19s | Train Loss: 2.1477 | Train Acc: 46.30% | Val Acc: 40.55% | Val Top-5 Error: 32.14%
Epoch 45/60 | Time: 90.87s | Train Loss: 2.1229 | Train Acc: 46.51% | Val Acc: 39.79% | Val Top-5 Error: 33.11%
Epoch 46/60 | Time: 95.29s | Train Loss: 2.1091 | Train Acc: 46.70% | Val Acc: 40.86% | Val Top-5 Error: 32.19%
Epoch 47/60 | Time: 106.70s | Train Loss: 2.0798 | Train Acc: 47.52% | Val Acc: 40.44% | Val Top-5 Error: 32.43%
Epoch 48/60 | Time: 73.31s | Train Loss: 2.0566 | Train Acc: 47.90% | Val Acc: 40.23% | Val Top-5 Error: 32.99%
Epoch 49/60 | Time: 79.51s | Train Loss: 2.0420 | Train Acc: 48.05% | Val Acc: 40.98% | Val Top-5 Error: 32.54%
Epoch 50/60 | Time: 86.02s | Train Loss: 2.0200 | Train Acc: 48.67% | Val Acc: 41.40% | Val Top-5 Error: 32.14%
Epoch 51/60 | Time: 87.29s | Train Loss: 1.9975 | Train Acc: 49.14% | Val Acc: 40.32% | Val Top-5 Error: 32.80%
Epoch 52/60 | Time: 103.86s | Train Loss: 1.9783 | Train Acc: 49.55% | Val Acc: 41.23% | Val Top-5 Error: 32.61%
Epoch 53/60 | Time: 98.80s | Train Loss: 1.9593 | Train Acc: 50.02% | Val Acc: 41.55% | Val Top-5 Error: 32.26%
Epoch 54/60 | Time: 104.19s | Train Loss: 1.9387 | Train Acc: 50.31% | Val Acc: 41.09% | Val Top-5 Error: 32.25%
Epoch 55/60 | Time: 84.87s | Train Loss: 1.9170 | Train Acc: 50.80% | Val Acc: 41.66% | Val Top-5 Error: 32.30%
Epoch 56/60 | Time: 84.58s | Train Loss: 1.8994 | Train Acc: 51.23% | Val Acc: 41.92% | Val Top-5 Error: 32.01%
Epoch 57/60 | Time: 87.62s | Train Loss: 1.8783 | Train Acc: 51.61% | Val Acc: 41.23% | Val Top-5 Error: 32.34%
Epoch 58/60 | Time: 103.50s | Train Loss: 1.8722 | Train Acc: 51.72% | Val Acc: 41.81% | Val Top-5 Error: 31.80%
Epoch 59/60 | Time: 101.30s | Train Loss: 1.8393 | Train Acc: 52.39% | Val Acc: 41.95% | Val Top-5 Error: 31.70%
Epoch 60/60 | Time: 102.42s | Train Loss: 1.8232 | Train Acc: 52.85% | Val Acc: 42.32% | Val Top-5 Error: 31.66%

Training finished in 91m 46s
Training history saved to training_history.json
Accuracy plot saved to accuracy_vs_epoch.jpg
